gid,gap,observation,next_request
100000002941114100,возможное дробление,11 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000008546855100,возможное дробление,5 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000000332284100,возможное дробление,10 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003249054100,возможное дробление,7 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000004071070100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003741418100,возможное дробление,9 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000002156381100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003159641100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000002293421100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000005665181100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003971049100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000002957787100,возможное дробление,5 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000002391278100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003636627100,возможное дробление,6 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000008190411100,возможное дробление,7 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000004610802100,возможное дробление,10 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000000557536100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000006490615100,возможное дробление,5 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000006756956100,возможное дробление,6 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000002605308100,деньги «осели»,"получил 2.6 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002173161100,деньги «осели»,"получил 1.4 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002894076100,деньги «осели»,"получил 1.1 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002872399100,деньги «осели»,"получил 1.1 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000003964910100,деньги «осели»,"получил 1.0 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000001875167100,деньги «осели»,"получил 1.0 млн, внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000001411870100,деньги «осели»,"получил 900 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002459832100,деньги «осели»,"получил 881 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000007229557100,деньги «осели»,"получил 878 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000003404627100,деньги «осели»,"получил 878 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002956769100,деньги «осели»,"получил 840 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000001567366100,деньги «осели»,"получил 824 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000004399686100,деньги «осели»,"получил 806 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002753146100,деньги «осели»,"получил 804 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
100000002722108100,деньги «осели»,"получил 800 тыс., внутрибанковских исходящих нет","Проверить межбанковские переводы, снятие наличных, карточные операции"
—,seed вне сети,19 клиентов без переводов ≥5 000 внутри банка,Запросить межбанк/наличные и операции < 5 000 KZT по этим seed
