gid,role,role_score,cluster_id,priority_score,evidence,is_seed,depth,component,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,fan_ratio,seed_reach,merge_gain,n_agg_payers,n_seed_payers,seed_traced_in_kzt,pagerank,hub,authority,betweenness,truncated_by_depth,p_continue,terminal_kind,fast_out_share,median_lag_days,max_payers_same_day,near_threshold_tx,flag_structuring,n_cycles,anomaly_z,anomaly_feature,flag_anomaly,coord_criteria,prio_role,prio_traced,prio_merge,prio_reach,prio_pr,prio_btw,prio_flags
100000003770083100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,19,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000003975102100,peripheral,0.676,3,0.284,"Вход 26 тыс. от 1, выход 88 тыс. на 2; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,2,25650.0,88500.0,1,2,3.4502923976608186,2.0,7,0,1,0,25650.0,0.00034546521801697994,4.642704712361591e-07,1.208396253519174e-19,5.914683513904559e-06,False,,,0.3615819209039548,1.0,1.0,0,False,0,1.69,log_in,False,,0.0169,0.156,0.0,0.0799,0.0617,0.0195,0.0
100000003977183100,peripheral,0.307,6,0.2495,"Вход 124 тыс. от 2, выход 766 тыс. на 4; пороги ролей не достигнуты (seed: входящие занижены) [возвратный поток]",True,0,0,2,4,123800.0,766000.0,2,6,6.187399030694669,2.0,1,0,1,1,76057.77777777778,0.0003314603816994432,4.9519259002560845e-05,4.200664191209648e-05,1.5851748110966993e-06,False,,,0.21148825065274152,0.0,1.0,0,False,1,2.02,out_deg,False,,0.0077,0.1791,0.0,0.0192,0.058,0.0129,0.0167
100000004007116100,peripheral,0.05,23,0.2177,"Вход 765 тыс. от 3, выход 148 тыс. на 4; пороги ролей не достигнуты (seed: входящие занижены) [сквозной пропуск ≤2дн; возвратный поток]",True,0,2,3,4,764704.0,148000.0,24,6,0.19353893794200108,1.3333333333333333,0,0,0,0,9754.237260712836,0.0006277769573248414,3.71816453594896e-20,-1.8009088454591095e-19,3.962937027741748e-07,False,,,0.9324324324324325,1.0,1.0,3,False,16,2.26,log_in,False,,0.0013,0.1292,0.0,0.0,0.0893,0.0031,0.0333
100000004019124100,terminal,0.911,3,0.5323,"Получил 193 тыс. от 3 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,3,0,193000.0,0.0,3,0,0.0,0.0,11,1,2,2,157359.67078189302,0.0012028680902033675,-0.0,2.6673228852655972e-08,0.0,False,,observed,0.0,,1.0,0,False,0,2.14,log_out,False,,0.1253,0.1888,0.067,0.1488,0.0964,0.0,0.0
100000004021459100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,20,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000004041163100,peripheral,0.505,10,0.4237,"Вход 50 тыс. от 1, выход 866 тыс. на 2; пороги ролей не достигнуты (seed: входящие занижены) [возвратный поток]",True,0,0,1,2,50000.0,866000.0,1,6,17.32,2.0,14,0,1,1,50000.0,0.002084748055672515,4.642405532585277e-07,3.752093957174476e-21,2.3381328463676314e-05,False,,,0.05542725173210162,0.0,1.0,0,False,1,1.8,log_in,False,,0.0126,0.1715,0.0,0.1499,0.0988,0.0489,0.0167
100000004174835100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,21,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000004193835100,peripheral,0.531,3,0.3182,"Вход 47 тыс. от 1, выход 5 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены) [сквозной пропуск ≤2дн]",True,0,0,1,1,47000.0,5000.0,1,1,0.10638297872340426,1.0,7,0,1,0,47000.0,0.000469930139695584,4.6055822936159707e-07,6.973423547353881e-11,6.6775488917448465e-06,False,,,1.0,0.0,1.0,0,False,0,1.79,log_in,False,,0.0133,0.169,0.0,0.0799,0.0756,0.0199,0.0167
100000004269433100,peripheral,0.9,12,0.0199,"Вход 0 от 0, выход 1.4 млн на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,1372000.0,0,67,,1.0,0,0,0,0,0.0,0.0002855692942172902,-1.6042423668779623e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.66,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000004358004100,distributor,0.656,8,0.1265,Рассылает на 11 получателей 981 тыс. (веер 11:1); плательщиков 0 (seed: входящие занижены) [аномалия для колена],True,0,0,0,11,0.0,980850.0,0,17,,11.0,0,0,0,0,0.0,0.0002855692942172902,0.0036381727346354183,-0.0,0.0,False,,,0.0,,0.0,0,False,0,6.74,out_deg,True,,0.1312,0.0,0.0,0.0,0.001,0.0,0.0167
100000004388983100,peripheral,0.8,41,0.0178,"Вход 0 от 0, выход 451 тыс. на 2; пороги ролей не достигнуты (seed: входящие занижены)",True,0,12,0,2,0.0,450816.0,0,23,,2.0,0,0,0,0,0.0,0.0002855692942172902,-5.753560708711413e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.67,out_deg,False,,0.02,0.0,0.0,0.0,0.001,0.0,0.0
100000004714705100,peripheral,0.9,10,0.0199,"Вход 0 от 0, выход 37 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,36550.0,0,1,,1.0,0,0,0,0,0.0,0.0002855692942172902,2.8024244226457326e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.06,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000004723755100,peripheral,0.9,8,0.0199,"Вход 0 от 0, выход 95 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,95000.0,0,5,,1.0,0,0,0,0,0.0,0.0002855692942172902,9.584336571635956e-21,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.13,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000004813068100,peripheral,0.7,13,0.0157,"Вход 0 от 0, выход 297 тыс. на 3; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,3,0.0,297000.0,0,5,,3.0,0,0,0,0,0.0,0.0002855692942172902,2.6811781461861164e-19,-0.0,0.0,False,,,0.0,,0.0,0,False,0,1.35,out_deg,False,,0.0175,0.0,0.0,0.0,0.001,0.0,0.0
100000004971871100,peripheral,0.677,40,0.2137,"Вход 25 тыс. от 1, выход 6 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены) [сквозной пропуск ≤2дн; возвратный поток]",True,0,10,1,1,25400.0,5650.0,3,1,0.22244094488188976,1.0,0,0,0,0,3306.682027649769,0.0007430293125206662,-2.336428014823136e-21,3.0974158630830284e-20,0.0,False,,,1.0,2.0,1.0,2,False,1,1.69,log_in,False,,0.0169,0.1091,0.0,0.0,0.092,0.0,0.0333
100000005017150100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,22,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005087431100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,23,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005235389100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,24,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005264990100,peripheral,0.8,10,0.2931,"Вход 17 тыс. от 1, выход 122 тыс. на 2; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,2,17070.0,122000.0,1,2,7.147041593438781,2.0,7,0,1,0,3184.0640773778064,0.0003639962150845005,4.642405532585401e-07,2.8874364319304787e-07,7.765375105859955e-05,False,,,0.0,4.0,1.0,0,False,0,1.62,log_in,False,,0.02,0.1085,0.0,0.0799,0.0655,0.0708,0.0
100000005370580100,peripheral,0.699,21,0.1924,"Вход 24 тыс. от 1, выход 0 на 0; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,0,24075.0,0.0,1,0,0.0,0.0,7,0,1,0,333.8945396003463,0.0003459684664848726,-0.0,4.259946144332747e-08,0.0,False,,,0.0,,1.0,0,False,0,2.14,log_out,False,,0.0175,0.067,0.0,0.0799,0.0619,0.0,0.0
100000005382566100,consolidator,0.818,10,0.6149,Получает от 7 плательщиков (6 seed) 393 тыс.; передаёт дальше 13%; сходятся потоки 14 seed (seed: входящие занижены) [сквозной пропуск ≤2дн; возвратный поток],True,0,0,7,1,393066.0,50000.0,11,1,0.12720510041570626,0.14285714285714285,14,0,6,6,340569.25581395347,0.0021132620521571092,1.5969869441893355e-21,1.082073811312104e-06,4.6366363224578456e-05,False,,,1.0,0.0,2.0,2,False,1,2.14,log_in,False,,0.184,0.1955,0.0,0.1499,0.0989,0.0618,0.0333
100000005386383100,peripheral,0.583,10,0.257,"Вход 38 тыс. от 2, выход 29 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,2,1,37500.0,29000.0,2,1,0.7733333333333333,0.5,7,0,2,0,538.6350458789672,0.0005243332756978205,4.6055822936159707e-07,1.8442978643317021e-19,2.852323925717123e-05,False,,,0.0,,2.0,0,False,0,1.75,log_in,False,,0.0146,0.0775,0.0,0.0799,0.0789,0.0514,0.0
100000005392290100,peripheral,0.9,43,0.0199,"Вход 0 от 0, выход 81 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,15,0,1,0.0,81465.0,0,1,,1.0,0,0,0,0,0.0,0.0002855692942172902,-6.06092275349137e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.1,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000005395727100,peripheral,0.8,3,0.1976,"Вход 17 тыс. от 1, выход 0 на 0; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,0,17000.0,0.0,1,0,0.0,0.0,7,0,1,0,317.8908952612073,0.0003712067299561792,-0.0,2.1269888239253392e-19,0.0,False,,,0.0,,1.0,0,False,0,2.14,log_out,False,,0.02,0.0659,0.0,0.0799,0.0666,0.0,0.0
100000005409680100,terminal,0.812,19,0.3937,"Получил 55 тыс. от 2 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,2,0,55060.0,0.0,2,0,0.0,0.0,9,0,2,0,8290.805189927976,0.0006335288187931603,-0.0,3.5825206343682534e-05,0.0,False,,observed,0.0,,1.0,0,False,0,2.14,log_out,False,,0.1117,0.1259,0.0,0.1361,0.0895,0.0,0.0
100000005417257100,peripheral,0.8,10,0.0178,"Вход 0 от 0, выход 106 тыс. на 2; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,2,0.0,106000.0,0,2,,2.0,0,0,0,0,0.0,0.0002855692942172902,-9.642677263873658e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.67,out_deg,False,,0.02,0.0,0.0,0.0,0.001,0.0,0.0
100000005454368100,terminal,0.792,21,0.3059,"Получил 49 тыс. от 2 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,2,0,48600.0,0.0,2,0,0.0,0.0,7,0,2,0,1933.4074785704288,0.0003941929632081931,-0.0,5.071743849085738e-06,0.0,False,,observed,0.0,,1.0,0,False,0,2.14,log_out,False,,0.1089,0.1013,0.0,0.0799,0.0698,0.0,0.0
100000005480435100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,25,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005485830100,peripheral,0.5,35,0.0114,"Вход 0 от 0, выход 276 тыс. на 5; пороги ролей не достигнуты (seed: входящие занижены)",True,0,5,0,5,0.0,275885.0,0,9,,5.0,0,0,0,0,0.0,0.0002855692942172902,-3.9459740651487913e-19,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.7,out_deg,False,,0.0125,0.0,0.0,0.0,0.001,0.0,0.0
100000005493505100,terminal,0.82,21,0.4843,"Получил 62 тыс. от 3 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,3,0,62020.0,0.0,3,0,0.0,0.0,11,1,2,1,23252.68641153129,0.0006174200765778767,-0.0,4.328893645340663e-08,0.0,False,,observed,0.0,,1.0,0,False,0,2.14,log_out,False,,0.1128,0.1523,0.067,0.1488,0.0889,0.0,0.0
100000005495722100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,26,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005498992100,distributor,0.756,6,0.1435,Рассылает на 16 получателей 2.3 млн (веер 16:1); плательщиков 0 (seed: входящие занижены) [аномалия для колена],True,0,0,0,16,0.0,2262868.0,0,19,,16.0,0,0,0,0,0.0,0.0002855692942172902,0.0012206418473347871,-0.0,0.0,False,,,0.0,,0.0,0,False,0,10.12,out_deg,True,,0.1512,0.0,0.0,0.0,0.001,0.0,0.0167
100000005519347100,peripheral,0.418,3,0.3593,"Вход 73 тыс. от 2, выход 99 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,2,1,73100.0,99000.0,2,1,1.3543091655266757,0.5,9,0,2,1,73100.0,0.0005567200012967682,1.1352806918818073e-08,4.517973706843054e-19,1.5191258606343366e-06,False,,,0.0,6.0,1.0,0,False,0,1.86,log_in,False,,0.0105,0.1781,0.0,0.1361,0.0858,0.0124,0.0
100000005523088100,terminal,0.981,10,0.4943,"Получил 700 тыс. от 1 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,1,0,700000.0,0.0,2,0,0.0,0.0,15,0,1,1,700000.0,0.0017206377268585364,-0.0,8.651558043291551e-09,0.0,False,,observed,0.0,,1.0,0,False,0,2.24,log_in,False,,0.1349,0.1988,0.0,0.15,0.0979,0.0,0.0
100000005543136100,peripheral,0.9,21,0.0199,"Вход 0 от 0, выход 10 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,10000.0,0,1,,1.0,0,0,0,0,0.0,0.0002855692942172902,1.84248761179723e-08,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.32,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000005550592100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,27,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005560900100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,28,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005568407100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,29,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000005668605100,terminal,0.854,10,0.5717,"Получил 94 тыс. от 3 плательщ.; исходящих нет, хотя колено 0 обходилось — деньги остались",True,0,0,3,0,94500.0,0.0,3,0,0.0,0.0,10,2,3,1,64484.88684487288,0.0008383018688148909,-0.0,2.928720722889589e-06,0.0,False,,observed,0.0,,1.0,0,False,0,2.14,log_out,False,,0.1174,0.1757,0.142,0.1441,0.0934,0.0,0.0
100000005744674100,peripheral,0.9,10,0.0199,"Вход 0 от 0, выход 50 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,50066.0,0,2,,1.0,0,0,0,0,0.0,0.0002855692942172902,4.6055822936159707e-07,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.0,,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000006232815100,peripheral,0.258,26,0.2544,"Вход 160 тыс. от 1, выход 296 тыс. на 5; пороги ролей не достигнуты (seed: входящие занижены) [возвратный поток]",True,0,3,1,5,160000.0,296500.0,2,5,1.853125,5.0,0,0,0,0,56466.666666666664,0.0005566536352336254,3.482044155686909e-19,1.155367055750947e-21,2.774055919419224e-06,False,,,0.0,4.0,1.0,0,False,1,2.7,out_deg,False,,0.0065,0.1745,0.0,0.0,0.0857,0.0159,0.0167
100000006249740100,peripheral,0.7,37,0.0157,"Вход 0 от 0, выход 93 тыс. на 3; пороги ролей не достигнуты (seed: входящие занижены)",True,0,8,0,3,0.0,93007.0,0,5,,3.0,0,0,0,0,0.0,0.0002855692942172902,2.2691675332217336e-21,-0.0,0.0,False,,,0.0,,0.0,0,False,0,1.35,out_deg,False,,0.0175,0.0,0.0,0.0,0.001,0.0,0.0
100000006831291100,peripheral,0.9,37,0.0199,"Вход 0 от 0, выход 15 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,8,0,1,0.0,15000.0,0,3,,1.0,0,0,0,0,0.0,0.0002855692942172902,-4.336027744083949e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.24,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000006866783100,consolidator,0.79,1,0.5448,Получает от 13 плательщиков (0 seed) 839 тыс.; передаёт дальше 471%; сходятся потоки 6 seed (seed: входящие занижены),True,0,0,13,67,838812.0,3948037.0,31,90,4.706700667133994,5.153846153846154,6,0,13,0,74933.97151742109,0.0008703719471293999,0.11545872592100134,0.0006837652775653471,0.006045225264012875,False,,,1.0,0.0,5.0,0,False,886,44.52,out_deg,True,,0.1778,0.1785,0.0,0.0412,0.0939,0.0997,0.05
100000007018630100,peripheral,0.9,42,0.0199,"Вход 0 от 0, выход 200 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,13,0,1,0.0,200000.0,0,5,,1.0,0,0,0,0,0.0,0.0002855692942172902,-2.0818753726308752e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.27,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000007747786100,distributor,0.996,6,0.1843,Рассылает на 31 получателей 4.2 млн (веер 31:1); плательщиков 0 (seed: входящие занижены) [аномалия для колена],True,0,0,0,31,0.0,4238009.4,0,35,,31.0,0,0,0,0,0.0,0.0002855692942172902,0.00023295930000685522,-0.0,0.0,False,,,0.0,,0.0,0,False,0,20.23,out_deg,True,,0.1992,0.0,0.0,0.0,0.001,0.0,0.0167
100000007982728100,peripheral,0.2,6,0.0192,"Вход 0 от 0, выход 1.8 млн на 8; пороги ролей не достигнуты (seed: входящие занижены) [аномалия для колена]",True,0,0,0,8,0.0,1804384.0,0,12,,8.0,0,0,0,0,0.0,0.0002855692942172902,0.0021944642459760418,-0.0,0.0,False,,,0.0,,0.0,0,False,0,4.72,out_deg,True,,0.005,0.0,0.0,0.0,0.001,0.0,0.0167
